,,,,,,
Task number,User name,Status,OPENDATE,OPENTIME,CLOSEDATE,CLOSETIME
56850,RIELAD,CLS,08/04/2024,11:17:05,10/04/2024,11:29:25
56849,RIJOTHI,CLS,08/04/2024,8:45:40,08/04/2024,9:26:05
56848,RISOFIS,CLS,07/04/2024,13:35:32,08/04/2024,16:44:28
56847,RISOFIS,CLS,07/04/2024,13:31:44,07/04/2024,13:35:28
56845,RISOFIS,CLS,04/04/2024,13:28:42,07/04/2024,13:31:38
56844,RIELAD,CLS,04/04/2024,11:36:39,08/04/2024,11:16:53
56843,RIDEBLEE,CLS,04/04/2024,10:46:06,04/04/2024,11:24:00
56841,RISOFIS,CLS,04/04/2024,9:56:01,04/04/2024,13:28:36
56840,RISOFIS,CLS,03/04/2024,15:58:38,04/04/2024,9:53:25
56838,RISOFIS,CLS,03/04/2024,10:47:34,03/04/2024,15:58:33
56837,RISWETHA,CLS,03/04/2024,8:42:53,05/04/2024,9:57:09
56836,RISOFIS,CLS,02/04/2024,15:08:28,03/04/2024,10:46:33
56835,RISOFIS,CLS,02/04/2024,14:13:39,02/04/2024,15:08:11
56834,RISOFIS,CLS,02/04/2024,13:51:50,02/04/2024,14:13:33
56833,RIJOTHI,CLS,02/04/2024,13:28:35,05/04/2024,9:06:45
56832,RIJOTHI,CLS,02/04/2024,10:46:52,01/04/2024,15:06:35
56831,RISOFIS,CLS,02/04/2024,10:43:10,02/04/2024,13:45:07
56830,RISOFIS,CLS,01/04/2024,15:32:04,02/04/2024,10:42:59
56829,RISOFIS,CLS,01/04/2024,15:06:39,01/04/2024,15:31:42
56828,RIJOTHI,CLS,01/04/2024,14:53:44,01/04/2024,14:55:51
56827,RIJOTHI,CLS,01/04/2024,13:29:38,01/04/2024,14:48:33
56826,RIELAD,CLS,01/04/2024,13:23:38,04/04/2024,11:36:35
56825,RISAMVID,CLS,01/04/2024,11:14:09,03/04/2024,13:34:11
56824,RISAMVID,CLS,01/04/2024,8:23:05,01/04/2024,10:25:55
56823,RISOFIS,CLS,31/03/2024,14:22:57,01/04/2024,15:06:35
56822,RISOFIS,CLS,31/03/2024,11:36:45,31/03/2024,14:22:52
56821,RISOFIS,CLS,31/03/2024,10:37:23,31/03/2024,11:36:37
56820,RISOFIS,CLS,31/03/2024,10:04:44,31/03/2024,10:37:17
56819,RISOFIS,CLS,31/03/2024,8:44:03,31/03/2024,10:04:39
56818,RIJOTHI,CLS,29/03/2024,11:55:28,01/04/2024,9:46:00
56817,RISWETHA,CLS,29/03/2024,8:47:23,01/04/2024,9:09:27
56816,RISWETHA,CLS,28/03/2024,11:44:03,28/03/2024,14:28:39
56815,RIDEBLEE,CLS,28/03/2024,11:13:37,28/03/2024,14:52:23
56814,RINURIT,CLS,28/03/2024,10:11:14,09/04/2024,9:18:53
56813,RIJOTHI,CLS,28/03/2024,8:51:04,29/03/2024,10:49:54
56812,RIJOTHI,CLS,28/03/2024,7:54:51,28/03/2024,8:03:33
56811,RIELAD,CLS,27/03/2024,17:54:39,01/04/2024,13:18:46
56810,RIJOTHI,CLS,27/03/2024,14:02:06,27/03/2024,15:20:47
56809,RIELAD,CLS,27/03/2024,13:08:36,27/03/2024,17:10:33
56808,RIJOTHI,CLS,27/03/2024,12:46:14,27/03/2024,13:44:02
56807,RIELAD,CLS,27/03/2024,10:05:08,27/03/2024,12:43:55
56806,RIDEBLEE,CLS,27/03/2024,9:32:11,27/03/2024,9:36:33
56805,RIELAD,CLS,26/03/2024,17:40:58,27/03/2024,10:01:05
56804,RINURIT,CLS,26/03/2024,9:56:43,28/03/2024,10:09:07
56803,RIDEBLEE,CLS,26/03/2024,9:22:27,26/03/2024,10:44:50
56802,RINURIT,CLS,26/03/2024,8:12:14,26/03/2024,8:45:28
56801,RIJOTHI,CLS,25/03/2024,13:03:01,27/03/2024,10:50:50
56800,RINURIT,CLS,25/03/2024,10:46:50,26/03/2024,8:11:06
56799,RINURIT,CLS,25/03/2024,10:37:06,25/03/2024,10:44:46
56798,RIJOTHI,CLS,22/03/2024,11:09:41,22/03/2024,11:16:25
56797,RIJOTHI,CLS,22/03/2024,8:24:27,22/03/2024,11:09:04
56796,RISOFIS,CLS,21/03/2024,15:32:28,31/03/2024,8:43:52
56795,RINURIT,CLS,21/03/2024,10:17:27,25/03/2024,10:32:24
56794,RINURIT,CLS,20/03/2024,8:55:51,21/03/2024,10:17:13
56793,RIDEBLEE,CLS,20/03/2024,7:57:09,20/03/2024,13:26:42
56792,RIDEBLEE,CLS,18/03/2024,10:39:17,18/03/2024,10:56:27
56791,RIJOTHI,CLS,14/03/2024,14:00:17,21/03/2024,15:21:26
56790,RIJOTHI,CLS,14/03/2024,11:05:24,14/03/2024,13:37:42
56789,RIJOTHI,CLS,14/03/2024,9:20:01,14/03/2024,11:03:31
56788,RISWETHA,CLS,14/03/2024,7:24:33,20/03/2024,13:22:26
56787,RISOFIS,CLS,13/03/2024,15:43:03,21/03/2024,15:32:24
56786,RISOFIS,CLS,13/03/2024,15:33:27,13/03/2024,15:33:24
56785,RISOFIS,CLS,13/03/2024,14:14:15,13/03/2024,15:33:24
56784,RIJOTHI,CLS,13/03/2024,12:30:56,14/03/2024,9:14:10
56783,RISOFIS,CLS,13/03/2024,10:44:40,13/03/2024,14:11:42
56782,RIELAD,CLS,13/03/2024,10:09:47,26/03/2024,17:40:53
56781,RIJOTHI,CLS,13/03/2024,9:11:49,13/03/2024,12:16:31
56780,RISAMVID,CLS,13/03/2024,8:24:28,13/03/2024,9:08:26
56779,RIELAD,CLS,12/03/2024,16:24:08,12/03/2024,16:59:36
56778,RISOFIS,CLS,12/03/2024,14:17:38,13/03/2024,10:43:51
56777,RIDEBLEE,CLS,12/03/2024,9:35:31,13/03/2024,8:13:21
56776,RISWETHA,CLS,12/03/2024,9:15:59,12/03/2024,14:06:56
56775,RISOFIS,CLS,11/03/2024,16:43:29,12/03/2024,14:17:33
56774,RISOFIS,CLS,11/03/2024,13:58:49,11/03/2024,16:38:59
56773,RISOFIS,CLS,11/03/2024,12:39:00,11/03/2024,13:58:07
56772,RISOFIS,CLS,11/03/2024,12:25:59,11/03/2024,12:38:49
56771,RISWETHA,CLS,11/03/2024,10:27:37,11/03/2024,12:22:10
56770,RISOFIS,CLS,07/03/2024,13:49:41,11/03/2024,12:25:54
56769,RINURIT,CLS,06/03/2024,14:51:42,20/03/2024,8:54:51
56768,RIVENKAT,CLS,06/03/2024,12:16:52,08/03/2024,7:38:35
56767,RIJOTHI,CLS,06/03/2024,12:13:24,06/03/2024,13:56:18
56766,RINURIT,CLS,05/03/2024,13:12:12,06/03/2024,14:48:51
56765,RINURIT,CLS,05/03/2024,10:08:36,05/03/2024,13:12:09
56764,RIJOTHI,CLS,05/03/2024,6:16:06,06/03/2024,8:09:49
56763,RISOFIS,CLS,04/03/2024,14:52:05,07/03/2024,13:49:27
56762,RISOFIS,CLS,04/03/2024,13:28:37,04/03/2024,14:51:57
56761,RIVENKAT,CLS,04/03/2024,12:21:27,04/03/2024,16:56:09
56760,RISWETHA,CLS,04/03/2024,12:14:16,04/03/2024,12:18:32
56759,RISWETHA,CLS,04/03/2024,8:54:23,04/03/2024,11:40:34
56758,RINURIT,CLS,03/03/2024,14:57:58,05/03/2024,10:04:08
56757,RISOFIS,CLS,29/02/2024,16:25:06,04/03/2024,13:26:19
56756,RIJOTHI,CLS,29/02/2024,10:06:29,29/02/2024,10:27:08
56755,RISOFIS,CLS,28/02/2024,9:50:14,29/02/2024,16:22:24
56754,RISOFIS,CLS,28/02/2024,9:14:58,28/02/2024,9:50:10
56753,RIJOTHI,CLS,27/02/2024,14:20:34,28/02/2024,9:27:43
56752,RIDEBLEE,CLS,26/02/2024,23:45:47,26/02/2024,23:50:38
56751,RISOFIS,CLS,26/02/2024,17:20:46,28/02/2024,9:14:42
56750,RIVENKAT,CLS,26/02/2024,14:49:32,01/03/2024,15:30:55
56749,RISOFIS,CLS,26/02/2024,10:26:48,26/02/2024,17:20:42
56748,RISOFIS,CLS,26/02/2024,10:15:20,26/02/2024,10:21:32
56747,RIVENKAT,CLS,26/02/2024,9:53:08,26/02/2024,14:42:14
56746,RISOFIS,CLS,25/02/2024,11:50:00,26/02/2024,10:15:15
56745,RISOFIS,CLS,25/02/2024,10:02:06,25/02/2024,11:49:57
56744,RIVENKAT,CLS,23/02/2024,8:40:54,23/02/2024,14:11:30
56743,RIELAD,CLS,22/02/2024,11:17:12,12/03/2024,16:24:04
56742,RISOFIS,CLS,22/02/2024,9:23:06,25/02/2024,10:02:02
56741,RISAMVID,CLS,20/02/2024,10:32:02,12/03/2024,14:48:56
56740,RISOFIS,CLS,19/02/2024,11:40:16,22/02/2024,9:22:35
56739,RIJOTHI,CLS,18/02/2024,16:30:41,18/02/2024,19:56:14
56738,RISOFIS,CLS,18/02/2024,13:57:48,19/02/2024,11:37:32
56737,RINURIT,CLS,18/02/2024,10:28:46,03/03/2024,14:57:47
56736,RINURIT,CLS,18/02/2024,9:50:42,18/02/2024,10:26:12
56735,RISWETHA,CLS,16/02/2024,10:54:41,04/03/2024,8:53:09
56734,RISAMVID,CLS,16/02/2024,8:56:50,19/02/2024,13:00:27
56733,RIVENKAT,CLS,16/02/2024,8:18:16,19/02/2024,14:51:31
56732,RIDEBLEE,CLS,15/02/2024,16:39:08,19/02/2024,13:01:56
56731,RIVENKAT,CLS,15/02/2024,9:04:15,15/02/2024,15:07:51
56730,RISAMVID,CLS,14/02/2024,8:18:01,15/02/2024,15:20:31
56729,RISWETHA,CLS,13/02/2024,14:31:30,15/02/2024,15:06:40
56728,RISOFIS,CLS,13/02/2024,12:19:36,18/02/2024,13:57:43
56727,RISOFIS,CLS,13/02/2024,12:17:55,13/02/2024,12:19:27
56726,RIVENKAT,CLS,13/02/2024,11:53:16,15/02/2024,8:51:08
56725,RISOFIS,CLS,12/02/2024,15:47:58,13/02/2024,12:17:50
56724,RISOFIS,CLS,08/02/2024,14:31:06,12/02/2024,15:47:30
56723,RIJOTHI,CLS,08/02/2024,13:50:51,15/02/2024,16:07:13
56722,RISWETHA,CLS,08/02/2024,11:30:20,08/02/2024,13:57:30
56721,RISOFIS,CLS,08/02/2024,11:28:08,08/02/2024,14:31:03
56720,RIDEBLEE,CLS,08/02/2024,10:17:11,15/02/2024,16:39:04
56719,RIJOTHI,CLS,08/02/2024,10:04:10,08/02/2024,10:29:48
56718,RISOFIS,CLS,07/02/2024,15:53:08,08/02/2024,11:28:04
56717,RIJOTHI,CLS,07/02/2024,11:34:01,07/02/2024,11:38:08
56716,RISWETHA,CLS,06/02/2024,14:07:27,06/02/2024,14:53:41
56715,RINURIT,CLS,06/02/2024,12:47:21,18/02/2024,9:48:11
56714,RINURIT,CLS,06/02/2024,12:10:19,06/02/2024,12:42:11
56713,RINURIT,CLS,06/02/2024,11:14:11,06/02/2024,12:09:52
56712,RIJOTHI,CLS,06/02/2024,8:13:32,07/02/2024,11:28:58
56711,RISOFIS,CLS,05/02/2024,15:05:59,07/02/2024,15:52:07
56710,RISWETHA,CLS,05/02/2024,8:34:32,05/02/2024,13:16:58
56709,RISOFIS,CLS,04/02/2024,9:30:35,05/02/2024,15:04:49
56708,RIJOTHI,CLS,02/02/2024,8:37:25,05/02/2024,12:49:24
56707,RINURIT,CLS,31/01/2024,14:22:14,06/02/2024,11:13:38
56706,RIJOTHI,CLS,31/01/2024,14:12:20,31/01/2024,14:15:17
56705,RIJOTHI,CLS,31/01/2024,10:38:26,31/01/2024,12:38:32
56704,RINURIT,CLS,30/01/2024,13:35:10,31/01/2024,14:22:06
56703,RINURIT,CLS,30/01/2024,13:22:28,30/01/2024,13:34:52
56702,RINURIT,CLS,29/01/2024,19:02:36,30/01/2024,13:20:56
56701,RINURIT,CLS,29/01/2024,14:50:08,29/01/2024,19:01:59
56700,RINURIT,CLS,29/01/2024,10:59:02,29/01/2024,14:50:04
56699,RINURIT,CLS,28/01/2024,14:10:00,29/01/2024,10:57:27
56698,RINURIT,CLS,25/01/2024,12:04:56,28/01/2024,14:08:36
56697,RINURIT,CLS,25/01/2024,11:35:50,25/01/2024,11:50:55
56696,RIVENKAT,CLS,24/01/2024,11:03:16,02/02/2024,8:45:26
56695,RINURIT,CLS,23/01/2024,14:59:21,25/01/2024,11:34:29
56694,RISOFIS,CLS,23/01/2024,12:36:02,04/02/2024,9:30:05
56693,RISOFIS,CLS,23/01/2024,12:32:56,23/01/2024,12:35:59
56692,RINURIT,CLS,23/01/2024,9:42:49,23/01/2024,14:58:22
56691,RISWETHA,CLS,23/01/2024,8:50:37,02/02/2024,8:39:52
56690,RINURIT,CLS,22/01/2024,11:04:38,23/01/2024,9:42:45
56689,RISOFIS,CLS,21/01/2024,16:51:36,23/01/2024,12:32:23
56688,RISOFIS,CLS,21/01/2024,16:21:04,21/01/2024,16:50:08
56687,RISOFIS,CLS,21/01/2024,16:17:49,21/01/2024,16:21:00
56686,RINURIT,CLS,21/01/2024,12:48:31,22/01/2024,10:51:33
56685,RISOFIS,CLS,18/01/2024,15:29:19,21/01/2024,16:17:30
56684,RIVENKAT,CLS,18/01/2024,12:53:13,22/01/2024,15:57:20
56683,RINURIT,CLS,18/01/2024,12:20:19,21/01/2024,12:48:27
56682,RISOFIS,CLS,18/01/2024,11:49:59,18/01/2024,13:40:30
56681,RISOFIS,CLS,18/01/2024,11:36:34,18/01/2024,11:49:55
56680,RISWETHA,CLS,18/01/2024,8:40:09,22/01/2024,16:16:42
56679,RISOFIS,CLS,17/01/2024,15:58:02,18/01/2024,11:35:10
56678,RISOFIS,CLS,17/01/2024,15:41:59,17/01/2024,15:56:31
56677,RISOFIS,CLS,17/01/2024,15:26:50,17/01/2024,15:41:54
56676,RINURIT,CLS,17/01/2024,10:39:00,18/01/2024,12:20:02
56675,RISOFIS,CLS,16/01/2024,16:53:29,17/01/2024,15:26:46
56674,RINURIT,CLS,15/01/2024,12:06:55,17/01/2024,10:37:24
56673,RISOFIS,CLS,15/01/2024,11:42:07,16/01/2024,16:53:24
56672,RINURIT,CLS,15/01/2024,10:21:59,15/01/2024,12:06:22
56671,RIDANAY,OPN,14/01/2024,19:52:10,-,-
56670,RISAMVID,CLS,11/01/2024,11:12:20,12/01/2024,15:13:55
56669,RINURIT,CLS,11/01/2024,9:27:40,11/01/2024,14:40:36
56668,RINURIT,CLS,11/01/2024,9:02:53,11/01/2024,9:27:35
56667,RINURIT,CLS,11/01/2024,8:03:05,11/01/2024,9:02:45
56666,RINURIT,CLS,10/01/2024,14:53:18,10/01/2024,15:02:53
56665,RINURIT,CLS,10/01/2024,14:15:38,10/01/2024,14:53:05
56664,RINURIT,CLS,10/01/2024,12:46:39,10/01/2024,14:07:19
56663,RISOFIS,CLS,10/01/2024,9:49:40,11/01/2024,15:38:53
56662,RINURIT,CLS,10/01/2024,8:55:48,10/01/2024,12:45:52
56661,RIVENKAT,CLS,09/01/2024,12:01:19,12/01/2024,13:20:56
56660,RINURIT,CLS,09/01/2024,9:47:37,10/01/2024,8:55:01
56659,RISOFIS,CLS,08/01/2024,16:57:51,10/01/2024,9:49:30
56658,RISOFIS,CLS,08/01/2024,16:44:55,08/01/2024,16:53:48
56657,RINURIT,CLS,08/01/2024,14:27:32,09/01/2024,9:47:28
56656,RISOFIS,CLS,08/01/2024,13:25:06,08/01/2024,16:44:43
56655,RISOFIS,CLS,08/01/2024,11:46:52,08/01/2024,11:58:35
56654,RINURIT,CLS,08/01/2024,10:04:04,08/01/2024,14:25:25
56653,RISWETHA,CLS,08/01/2024,9:25:54,12/01/2024,14:19:18
56652,RINURIT,CLS,07/01/2024,15:09:24,08/01/2024,10:03:55
56651,RINURIT,CLS,07/01/2024,14:58:05,07/01/2024,15:08:45
56650,RINURIT,CLS,07/01/2024,13:08:17,07/01/2024,14:56:52
56649,RISOFIS,CLS,07/01/2024,10:02:02,08/01/2024,11:46:42
56648,RISOFIS,CLS,04/01/2024,10:34:44,07/01/2024,10:01:57
56647,RISWETHA,CLS,04/01/2024,7:48:34,04/01/2024,14:36:14
56646,RIVENKAT,CLS,04/01/2024,7:48:25,04/01/2024,14:37:23
56645,RISOFIS,CLS,03/01/2024,13:45:09,04/01/2024,10:33:58
56644,RIDEBLEE,CLS,03/01/2024,12:54:25,04/01/2024,14:38:07
56643,RISAMVID,CLS,03/01/2024,12:06:02,04/01/2024,14:41:02
56642,RISOFIS,CLS,02/01/2024,14:38:17,03/01/2024,13:45:05
56641,RISAMVID,CLS,02/01/2024,13:17:15,02/01/2024,14:35:21
56640,RISOFIS,CLS,02/01/2024,11:56:48,02/01/2024,14:37:14
56639,RISAMVID,CLS,02/01/2024,9:26:35,02/01/2024,13:17:05
56638,RISWETHA,CLS,02/01/2024,9:21:17,02/01/2024,14:17:37
56637,RINURIT,CLS,31/12/2023,12:37:36,07/01/2024,13:07:32
56636,RISOFIS,CLS,31/12/2023,10:42:22,02/01/2024,11:56:10
56635,RISOFIS,CLS,31/12/2023,10:33:38,31/12/2023,10:42:13
56634,RISOFIS,CLS,31/12/2023,10:28:41,31/12/2023,10:33:34
56633,RIJOTHI,CLS,29/12/2023,14:32:35,12/01/2024,10:30:14
56632,RIDEBLEE,CLS,29/12/2023,14:07:54,03/01/2024,9:01:56
56631,RIVENKAT,CLS,29/12/2023,13:45:53,03/01/2024,9:58:51
56630,RIVENKAT,CLS,29/12/2023,8:52:33,29/12/2023,13:34:42
56629,RISOFIS,CLS,28/12/2023,9:16:24,31/12/2023,10:28:30
56628,RINURIT,CLS,27/12/2023,12:59:41,31/12/2023,12:37:31
56627,RINURIT,CLS,27/12/2023,9:13:07,27/12/2023,12:59:28
56626,RISOFIS,CLS,27/12/2023,8:53:30,28/12/2023,9:16:16
56625,RISWETHA,CLS,27/12/2023,8:18:32,01/01/2024,9:20:20
56624,RISOFIS,CLS,27/12/2023,8:17:48,27/12/2023,8:53:26
56623,RIDEBLEE,CLS,27/12/2023,8:07:54,29/12/2023,13:26:17
56622,RISOFIS,CLS,26/12/2023,13:59:32,27/12/2023,8:17:41
56621,RIJOTHI,CLS,26/12/2023,11:47:46,29/12/2023,13:23:20
56620,RISWETHA,CLS,26/12/2023,8:53:45,27/12/2023,8:09:57
56619,RINURIT,CLS,25/12/2023,12:43:14,27/12/2023,9:06:57
56618,RISOFIS,CLS,25/12/2023,9:54:41,26/12/2023,13:59:25
56617,RISAMVID,CLS,22/12/2023,7:22:58,27/12/2023,7:53:23
56616,RIVENKAT,CLS,22/12/2023,7:15:52,22/12/2023,15:52:20
56615,RIDEBLEE,CLS,21/12/2023,21:59:09,27/12/2023,7:53:23
56614,RINURIT,CLS,21/12/2023,15:01:07,25/12/2023,12:41:31
56613,RISWETHA,CLS,21/12/2023,14:45:42,22/12/2023,15:53:30
56612,RIJOTHI,CLS,21/12/2023,11:25:53,21/12/2023,15:00:51
56611,RINURIT,CLS,20/12/2023,14:30:45,21/12/2023,15:00:51
56610,RINURIT,CLS,20/12/2023,14:27:52,20/12/2023,14:30:32
56609,RINURIT,CLS,20/12/2023,14:17:19,20/12/2023,14:27:49
56608,RISOFIS,CLS,20/12/2023,12:43:21,25/12/2023,9:54:35
56607,RISAMVID,CLS,20/12/2023,12:06:28,22/12/2023,7:22:54
56606,RINURIT,CLS,20/12/2023,11:30:37,20/12/2023,14:16:29
56605,RIVENKAT,CLS,20/12/2023,11:11:20,21/12/2023,21:52:54
56604,RIDEBLEE,CLS,20/12/2023,7:09:53,21/12/2023,21:27:06
56603,RISWETHA,CLS,19/12/2023,15:49:57,21/12/2023,14:42:11
56602,RISOFIS,CLS,19/12/2023,15:09:11,20/12/2023,12:42:19
56601,RISOFIS,CLS,19/12/2023,13:31:39,19/12/2023,15:08:54
56600,RINURIT,CLS,19/12/2023,12:49:24,20/12/2023,11:25:44
56599,RINURIT,CLS,19/12/2023,10:31:40,19/12/2023,12:47:42
56598,RINURIT,CLS,19/12/2023,8:56:03,19/12/2023,10:31:14
56597,RISOFIS,CLS,18/12/2023,14:59:37,19/12/2023,13:30:27
56596,RIVENKAT,CLS,18/12/2023,8:46:00,20/12/2023,11:11:13
56595,RISWETHA,CLS,15/12/2023,7:58:30,19/12/2023,15:49:51
56594,RISAMVID,CLS,15/12/2023,7:29:50,19/12/2023,15:27:36
56593,RIDEBLEE,CLS,14/12/2023,22:39:01,19/12/2023,23:22:41
56592,RINURIT,CLS,14/12/2023,11:49:39,19/12/2023,8:55:59
56591,RINURIT,CLS,13/12/2023,12:21:27,14/12/2023,11:45:10
56590,RISOFIS,CLS,13/12/2023,10:55:01,18/12/2023,14:59:08
56589,RISWETHA,CLS,13/12/2023,10:23:05,14/12/2023,14:49:51
56588,RINURIT,CLS,13/12/2023,9:45:03,13/12/2023,12:21:20
56587,RINURIT,CLS,12/12/2023,13:14:27,13/12/2023,9:42:55
56586,RISAMVID,CLS,12/12/2023,12:07:08,14/12/2023,14:51:33
56585,RIVENKAT,CLS,12/12/2023,8:20:22,14/12/2023,17:05:54
56584,RIDEBLEE,CLS,12/12/2023,8:09:23,14/12/2023,22:37:45
56583,RINURIT,CLS,11/12/2023,14:44:01,12/12/2023,13:12:14
56582,RINURIT,CLS,11/12/2023,14:31:19,11/12/2023,14:43:56
56581,RINURIT,CLS,11/12/2023,11:05:47,11/12/2023,14:29:58
56580,RINURIT,CLS,11/12/2023,10:39:42,11/12/2023,11:05:07
56579,RISOFIS,CLS,11/12/2023,10:36:46,13/12/2023,10:54:27
56578,RINURIT,CLS,11/12/2023,9:33:27,11/12/2023,9:36:46
56577,RINURIT,CLS,11/12/2023,9:20:01,11/12/2023,9:33:17
56576,RINURIT,CLS,11/12/2023,9:14:12,11/12/2023,9:16:13
56575,RISOFIS,CLS,11/12/2023,8:11:00,11/12/2023,10:35:30
56574,RINURIT,CLS,10/12/2023,15:01:40,11/12/2023,9:00:38
56573,RINURIT,CLS,10/12/2023,13:40:08,10/12/2023,15:01:33
56572,RISOFIS,CLS,10/12/2023,10:24:09,11/12/2023,8:10:56
56571,RISOFIS,CLS,10/12/2023,10:21:43,10/12/2023,10:24:06
56570,RISOFIS,CLS,07/12/2023,15:28:15,10/12/2023,10:21:32
56569,RISOFIS,CLS,07/12/2023,13:43:39,07/12/2023,15:27:55
56568,RINURIT,CLS,07/12/2023,12:13:23,10/12/2023,13:39:37
56567,RISOFIS,CLS,07/12/2023,9:58:39,07/12/2023,13:43:35
56566,RISOFIS,CLS,06/12/2023,16:47:06,07/12/2023,9:58:35
56565,RINURIT,CLS,06/12/2023,13:12:40,07/12/2023,12:11:02
56564,RINURIT,CLS,06/12/2023,13:01:08,06/12/2023,13:11:16
56563,RISOFIS,CLS,06/12/2023,9:12:22,06/12/2023,16:47:01
56562,RINURIT,CLS,06/12/2023,9:07:56,06/12/2023,12:59:33
56561,RIDEBLEE,CLS,05/12/2023,23:16:13,12/12/2023,8:09:20
56560,RISOFIS,CLS,05/12/2023,14:00:05,06/12/2023,9:12:16
56559,RISAMVID,CLS,05/12/2023,11:46:49,12/12/2023,8:10:27
56558,RIVENKAT,CLS,05/12/2023,9:11:17,12/12/2023,8:02:05
56557,RINURIT,CLS,04/12/2023,12:59:02,06/12/2023,9:04:32
56556,RISAMVID,CLS,04/12/2023,12:35:23,05/12/2023,9:09:41
56555,RIDEBLEE,CLS,04/12/2023,9:43:35,05/12/2023,9:08:04
56554,RINURIT,CLS,03/12/2023,15:10:43,04/12/2023,12:58:44
56553,RINURIT,CLS,03/12/2023,8:35:11,03/12/2023,15:09:28
56552,RIVENKAT,CLS,01/12/2023,13:01:31,05/12/2023,9:10:51
56551,RINURIT,CLS,30/11/2023,19:07:54,01/12/2023,12:04:02
56550,RINURIT,CLS,30/11/2023,12:01:14,30/11/2023,19:03:32
56549,RINURIT,CLS,29/11/2023,14:57:44,30/11/2023,11:59:56
56548,RIJOTHI,CLS,29/11/2023,12:42:16,01/12/2023,13:19:46
56547,RISOFIS,CLS,29/11/2023,10:00:39,05/12/2023,13:59:58
56546,RISAMVID,CLS,29/11/2023,8:18:51,01/12/2023,12:04:02
56545,RISWETHA,CLS,29/11/2023,8:08:16,01/12/2023,12:37:24
56544,RIVENKAT,CLS,29/11/2023,7:49:42,01/12/2023,13:00:55
56543,RIDEBLEE,CLS,29/11/2023,7:43:40,01/12/2023,13:18:51
56542,RISOFIS,CLS,28/11/2023,13:26:02,29/11/2023,10:00:32
56541,RISOFIS,CLS,27/11/2023,14:30:02,28/11/2023,13:25:55
56540,RINURIT,CLS,27/11/2023,14:15:48,29/11/2023,14:56:46
56539,RINURIT,CLS,27/11/2023,13:00:25,27/11/2023,14:14:35
56538,RINURIT,CLS,27/11/2023,12:50:00,27/11/2023,12:58:26
56537,RISOFIS,CLS,26/11/2023,16:20:21,27/11/2023,14:29:57
56536,RINURIT,CLS,26/11/2023,13:26:38,27/11/2023,12:48:06
56535,RINURIT,CLS,26/11/2023,13:03:58,26/11/2023,13:24:57
56534,RINURIT,CLS,26/11/2023,10:10:38,26/11/2023,13:02:53
56533,RIJOTHI,CLS,24/11/2023,12:38:39,29/11/2023,11:54:24
56532,RISOFIS,CLS,23/11/2023,16:30:22,26/11/2023,16:13:01
56531,RINURIT,CLS,23/11/2023,13:51:05,26/11/2023,10:05:14
56530,RINURIT,CLS,23/11/2023,11:52:37,23/11/2023,13:49:02
56529,RINURIT,CLS,23/11/2023,10:28:17,23/11/2023,11:52:33
56528,RIDEBLEE,CLS,22/11/2023,6:11:19,29/11/2023,7:42:58
56527,RISWETHA,CLS,21/11/2023,13:31:50,29/11/2023,7:47:50
56526,RIVENKAT,CLS,21/11/2023,12:19:47,29/11/2023,7:47:57
56525,RISAMVID,CLS,21/11/2023,12:18:04,29/11/2023,8:18:45
56524,RISAMVID,CLS,20/11/2023,12:18:44,21/11/2023,12:17:56
56523,RINURIT,CLS,20/11/2023,11:27:30,23/11/2023,10:27:23
56522,RINURIT,CLS,20/11/2023,10:16:36,20/11/2023,10:19:03
56521,RIDEBLEE,CLS,17/11/2023,9:53:36,21/11/2023,12:17:13
56520,RIVENKAT,CLS,16/11/2023,15:03:35,21/11/2023,12:19:18
56519,RISWETHA,CLS,16/11/2023,14:39:01,21/11/2023,12:14:43
56518,RISAMVID,CLS,16/11/2023,11:59:58,16/11/2023,13:16:40
56517,RISOFIS,CLS,15/11/2023,15:11:10,23/11/2023,16:28:08
56516,RISOFIS,CLS,15/11/2023,13:59:40,15/11/2023,15:10:51
56515,RISOFIS,CLS,15/11/2023,11:44:22,15/11/2023,13:59:37
56514,RINURIT,CLS,14/11/2023,14:10:22,20/11/2023,10:15:28
56513,RISOFIS,CLS,13/11/2023,14:39:46,15/11/2023,11:43:57
56512,RISOFIS,CLS,13/11/2023,14:29:26,13/11/2023,14:39:42
56511,RISOFIS,CLS,13/11/2023,14:02:34,13/11/2023,14:29:16
56510,RINURIT,CLS,13/11/2023,12:02:18,14/11/2023,14:10:18
56509,RINURIT,CLS,13/11/2023,11:52:51,13/11/2023,12:02:03
56508,RINURIT,CLS,13/11/2023,11:28:08,13/11/2023,11:52:43
56507,RISOFIS,CLS,13/11/2023,11:02:58,13/11/2023,14:02:29
56506,RINURIT,CLS,12/11/2023,11:26:02,13/11/2023,11:27:10
56505,RINURIT,CLS,12/11/2023,9:17:08,12/11/2023,11:24:09
56504,RISOFIS,CLS,09/11/2023,10:44:50,13/11/2023,11:02:31
56503,RINURIT,CLS,09/11/2023,10:22:49,12/11/2023,9:16:47
56502,RIVENKAT,CLS,08/11/2023,19:05:59,16/11/2023,14:13:35
56501,RINURIT,CLS,08/11/2023,13:43:06,09/11/2023,10:21:22
56500,RINURIT,CLS,08/11/2023,12:07:56,08/11/2023,13:41:45
56499,RISOFIS,CLS,08/11/2023,9:08:04,09/11/2023,10:44:46
